(1)
position 400 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(2)
position 405 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(3)
position 410 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(4)
position 416 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(5)
position 421 2 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(6)
position 426 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(7)
position 440 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(8)
position 450 2 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(9)
position 465 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(10)
position 470 2 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(11)
position 475 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(12)
position 480 2 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(13)
position 510 1 -1
rotation 0 0 0 
scale 0.01 0.01 0.01
(14)
position 806 1 0
rotation 0 0 0 
scale 0.01 0.01 0.01
(15)
position 812 1 0
rotation 0 0 0 
scale 0.01 0.01 0.01
(16)
position 818 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(17)
position 830 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(18)
position 835 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(19)
position 840 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
