(1)
position 90 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(2)
position 107 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(3)
position 107 1 -1
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(4)
position 127 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(5)
position 136 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(6)
position 142 1 -1
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(7)
position 155 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(8)
position 175 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(9)
position 193 1 -1 a
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(10)
position 193 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(11)
position 193 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(12)
position 215 1 -1 a
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(13)
position 235 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(14)
position 485 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(15)
position 495 1 -1 a
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(16)
position 505 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(17)
position 590 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(18)
position 700 1 -1 a
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(19)
position 733 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(20)
position 825 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(21)
position 850 1 -1
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(22)
position 850 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(23)
position 895 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(24)
position 10000 1 -1 a
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(25)
position 10000 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(26)
position 10000 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(27)
position 10000 1 -1 a
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(28)
position 10000 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(29)
position 10000 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(30)
position 10000 1 -1 a
rotation -1.57 0 0 
scale 0.5 0.5 0.1

