(1)
position 100 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(2)
position 117 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(3)
position 120 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(4)
position 133 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(5)
position 139 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(6)
position 145 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(7)
position 165 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(8)
position 185 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(9)
position 200 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(10)
position 203 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(11)
position 206 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(12)
position 225 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(13)
position 259 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(14)
position 490 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(15)
position 500 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(16)
position 510 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(17)
position 608 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(18)
position 705 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(19)
position 736 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(20)
position 840 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(21)
position 855 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(22)
position 865 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(23)
position 915 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(24)
position 10000 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(25)
position 10000 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(26)
position 10000 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(27)
position 10000 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(28)
position 10000 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(29)
position 10000 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(30)
position 10000 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03


