(1)
position 62 5 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(2)
position 72 5 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(3)
position 82 5 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(4)
position 232 5 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(5)
position 242 5 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(6)
position 10000 5 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(7)
position 10000 5 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(8)
position 10000 5 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(9)
position 10000 5 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(10)
position 10000 5 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(11)
position 10000 5 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(12)
position 10000 5 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(13)
position 10000 5 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(14)
position 10000 5 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(15)
position 10000 5 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(16)
position 10000 5 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(17)
position 10000 5 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(18)
position 10000 5 1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(19)
position 10000 5 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(20)
position 10000 5 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(21)
position 10000 5 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(22)
position 10000 5 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(23)
position 10000 5 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(24)
position 10000 5 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(25)
position 10000 5 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(26)
position 10000 5 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(27)
position 10000 5 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(28)
position 10000 5 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(29)d
position 10000 5 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(30)
position 10000 5 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
