(1)
position 25 1 1 
rotation 0 0 0 
scale 0.5 0.5 0.5
(2)
position 35 1 1 
rotation 0 0 0 
scale 0.5 0.5 0.5
(3)
position 45 1 1 
rotation 0 0 0 
scale 0.5 0.5 0.5
(4)
position 165 1 1 
rotation 0 0 0 
scale 0.5 0.5 0.5
(5)
position 175 1 1 
rotation 0 0 0 
scale 0.5 0.5 0.5
(6)
position 185 1 1 
rotation 0 0 0 
scale 0.5 0.5 0.5
(7)
position 203 1 1 
rotation 0 0 0 
scale 0.5 0.5 0.5
(8)
position 10000 1 1 
rotation 0 0 0 
scale 0.5 0.5 0.5
(9)
position 10000 1 1 
rotation 0 0 0 
scale 0.5 0.5 0.5
(10)
position 10000 1 1 
rotSation 0 0 0 
scale 0.5 0.5 0.5
(11)
position 10000 1 1 
rotation 0 0 0 
scale 0.5 0.5 0.5
(12)
position 10000 1 1 
rotation 0 0 0 
scale 0.5 0.5 0.5
(13)
position 10000 1 1 
rotation 0 0 0 
scale 0.5 0.5 0.5
(14)
position 10000 1 1 
rotation 0 0 0 
scale 0.5 0.5 0.5
(15)
position 10000 1 1 
rotation 0 0 0 
scale 0.5 0.5 0.5
(16)
position 10000 1 1 
rotation 0 0 0 
scale 0.5 0.5 0.5
(17)
position 10000 1 1 
rotation 0 0 0 
scale 0.5 0.5 0.5
(18)
position 10000 1 1 
rotation 0 0 0 
scale 0.5 0.5 0.5
(19)
position 10000 1 1 
rotation 0 0 0 
scale 0.5 0.5 0.5
(20)
position 10000 1 1 
rotation 0 0 0 
scale 0.5 0.5 0.5
(21)
position 10000 1 1 
rotation 0 0 0 
scale 0.5 0.5 0.5
(22)
position 10000 1 1 
rotation 0 0 0 
scale 0.5 0.5 0.5
(23)
position 10000 1 1 
rotation 0 0 0 
scale 0.5 0.5 0.5
(24)
position 10000 1 1 
rotation 0 0 0 
scale 0.5 0.5 0.5
(25)
position 10000 1 1 
rotation 0 0 0 
scale 0.5 0.5 0.5
(26)
position 10000 1 1 
rotation 0 0 0 
scale 0.5 0.5 0.5
(27)
position 10000 1 1 
rotation 0 0 0 
scale 0.5 0.5 0.5
(28)
position 10000 1 1 
rotation 0 0 0 
scale 0.5 0.5 0.5
(29)
position 10000 1 1 
rotation 0 0 0 
scale 0.5 0.5 0.5
(30)
position 10000 1 1 
rotation 0 0 0 
scale 0.5 0.5 0.5
