(1)
position 10000 1 -1 
rotation 0 3.14 0 
scale 0.005 0.005 0.005
(2)
position 10000 1 -1 
rotation 0 1.57 0 
scale 0.005 0.005 0.005
(3)
position 10000 2 -1 
rotation 0 1.57 0 
scale 0.005 0.005 0.005
(4)
position 10000 1 -1 
rotation 0 3.14 0 
scale 0.005 0.005 0.005
(5)
position 10000 1 -1 
rotation 0 1.57 0 
scale 0.005 0.005 0.005
(6)
position 10000 2 -1 
rotation 0 1.57 0 
scale 0.005 0.005 0.005
(7)
position 10000 1 -1 
rotation 0 3.14 0 
scale 0.005 0.005 0.005
(8)
position 10000 1 -1 
rotation 0 1.57 0 
scale 0.005 0.005 0.005
(9)
position 10000 2 -1 
rotation 0 1.57 0 
scale 0.005 0.005 0.005
(10)
position 10000 1 -1 
rotation 0 3.14 0 
scale 0.005 0.005 0.005
(11)
position 10000 1 -1 
rotation 0 1.57 0 
scale 0.005 0.005 0.005
(12)
position 10000 2 -1 
rotation 0 1.57 0 
scale 0.005 0.005 0.005
(13)
position 10000 1 -1 
rotation 0 3.14 0 
scale 0.005 0.005 0.005
(14)
position 10000 1 -1 
rotation 0 1.57 0 
scale 0.005 0.005 0.005
(15)
position 10000 2 -1 
rotation 0 1.57 0 
scale 0.005 0.005 0.005
(16)
position 10000 1 -1 
rotation 0 3.14 0 
scale 0.005 0.005 0.005
(17)
position 10000 1 -1 
rotation 0 1.57 0 
scale 0.005 0.005 0.005
(18)
position 10000 2 -1 
rotation 0 1.57 0 
scale 0.005 0.005 0.005
(19)
position 10000 1 -1 
rotation 0 3.14 0 
scale 0.005 0.005 0.005
(20)
position 10000 1 -1 
rotation 0 1.57 0 
scale 0.005 0.005 0.005
(21)
position 10000 2 -1 
rotation 0 1.57 0 
scale 0.005 0.005 0.005
(22)
position 10000 1 -1 
rotation 0 3.14 0 
scale 0.005 0.005 0.005
(23)
position 10000 1 -1 
rotation 0 1.57 0 
scale 0.005 0.005 0.005
(24)
position 10000 2 -1 
rotation 0 1.57 0 
scale 0.005 0.005 0.005
(25)
position 10000 1 -1 
rotation 0 3.14 0 
scale 0.005 0.005 0.005
(26)
position 10000 1 -1 
rotation 0 1.57 0 
scale 0.005 0.005 0.005
(27)
position 10000 2 -1 
rotation 0 1.57 0 
scale 0.005 0.005 0.005
(28)
position 10000 1 -1 
rotation 0 3.14 0 
scale 0.005 0.005 0.005
(29)
position 10000 1 -1 
rotation 0 1.57 0 
scale 0.005 0.005 0.005
(30)
position 10000 2 -1 
rotation 0 1.57 0 
scale 0.005 0.005 0.005
