(1)
position 285 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(2)
position 290 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(3)
position 295 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(4)
position 315 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(5)
position 363 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(6)
position 378 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(7)
position 720 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(8)
position 861 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(9)
position 880 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(10)
position 910 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(11)
position 20011 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(12)
position 20012 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(13)
position 20013 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(14)
position 20014 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(15)
position 20015 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(16)
position 20016 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(17)
position 20017 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(18)
position 20018 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(19)
position 20019 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(20)
position 20020 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(21)
position 20021 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(22)
position 20022 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(23)
position 20023 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(24)
position 20024 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(25)
position 20025 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(26)
position 20026 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(27)
position 20027 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(28)
position 20028 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(29)
position 20029 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
(30)
position 20030 1 -1 
rotation 0 0 0 
scale 0.01 0.01 0.01
