(1)
position 310 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(2)
position 325 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(3)
position 340 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(4)
position 352 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(5)
position 355 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(6)
position 390 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(7)
position 382 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(8)
position 374 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(9)
position 725 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(10)
position 870 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(11)
position 920 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(12)
position 925 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(13)
position 10000 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(14)
position 10000 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(15)
position 10000 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(16)
position 10000 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(17)
position 10000 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(18)
position 10000 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(19)
position 10000 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(20)
position 10000 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(21)
position 10000 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(22)
position 10000 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(23)
position 10000 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(24)
position 10000 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(25)
position 10000 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(26)
position 10000 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(27)
position 10000 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(28)
position 10000 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(29)
position 10000 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
(30)
position 10000 1 -1 
rotation 0 0 0 
scale 0.03 0.03 0.03
